neighbourhood_group,neighbourhood,average_price,total_listings,number_of_hosts,average_minimum_nights,average_reviews_per_month
Brooklyn,Kensington,95.38064516129032,155,129,2.670967741935484,1.0476774193548386
Brooklyn,Manhattan Beach,96.85714285714286,7,6,2.5714285714285716,1.5614285714285714
Brooklyn,Midwood,79.81,100,87,2.65,0.9123
Brooklyn,Mill Basin,179.75,4,4,2.25,2.1275
Brooklyn,Navy Yard,154.0,12,12,2.4166666666666665,0.8858333333333334
Brooklyn,Park Slope,180.21846846846847,444,404,3.2972972972972974,1.04518018018018
Brooklyn,Prospect Heights,176.45569620253164,316,279,2.901898734177215,1.1341139240506328
Brooklyn,Prospect-Lefferts Gardens,108.57588357588358,481,399,2.7422037422037424,1.331829521829522
Brooklyn,Red Hook,144.70666666666668,75,69,2.5733333333333333,1.3352
Brooklyn,Sea Gate,487.85714285714283,7,5,4.142857142857143,0.49714285714285716
Brooklyn,Sheepshead Bay,104.8543046357616,151,108,2.5496688741721854,1.6029139072847682
Brooklyn,South Slope,150.91860465116278,258,223,2.9844961240310077,1.196782945736434
Brooklyn,Sunset Park,109.03988603988604,351,279,2.8176638176638176,1.2275783475783475
Brooklyn,Vinegar Hill,166.76,25,23,2.64,0.9007999999999999
Brooklyn,Williamsburg,143.85270002827255,3537,3079,2.9301668080294037,1.0710121571953632
Brooklyn,Windsor Terrace,143.15217391304347,138,118,3.13768115942029,1.2171739130434782
Manhattan,Battery Park City,413.2692307692308,52,46,2.2115384615384617,0.7807692307692308
Manhattan,Chelsea,250.87179487179486,897,800,2.7725752508361206,1.2404013377926422
Manhattan,Chinatown,162.62576687116564,326,293,2.733128834355828,1.3429754601226993
Manhattan,Civic Center,201.48837209302326,43,41,2.7906976744186047,0.7979069767441861
Manhattan,East Harlem,137.4673913043478,1012,826,2.5573122529644268,1.6217687747035574
Manhattan,East Village,182.59052247873632,1646,1479,2.867557715674362,1.086895504252734
Manhattan,Financial District,236.66156787762907,523,314,2.6137667304015295,1.4791013384321225
Manhattan,Flatiron District,363.9264705882353,68,66,2.8823529411764706,1.1669117647058822
Manhattan,Gramercy,223.68661971830986,284,262,2.9401408450704225,1.1361267605633802
Manhattan,Greenwich Village,251.15223880597014,335,316,3.0417910447761196,0.9131044776119402
Manhattan,Harlem,119.92349957734574,2366,1923,2.6999154691462386,1.3019484361792053
Manhattan,Hell's Kitchen,197.34625,1600,1257,2.6,1.84489375
Manhattan,Inwood,90.52863436123349,227,194,2.7444933920704844,0.9536563876651982
Manhattan,Kips Bay,210.21114369501467,341,311,2.6774193548387095,1.0634310850439883
Manhattan,Little Italy,256.4719101123595,89,80,2.808988764044944,1.4358426966292135
Manhattan,Lower East Side,170.76448362720404,794,712,2.7644836272040303,1.2271158690176323
Manhattan,Marble Hill,89.16666666666667,12,10,2.5833333333333335,0.7233333333333333
Manhattan,Midtown,285.96397188049207,1138,855,2.6124780316344465,1.256810193321617
Manhattan,Morningside Heights,113.93729372937294,303,270,3.056105610561056,0.9845874587458745
Manhattan,Murray Hill,241.54044117647058,272,235,2.6691176470588234,1.221580882352941
Manhattan,NoHo,289.3970588235294,68,57,3.0588235294117645,0.8101470588235294
Manhattan,Nolita,239.07623318385652,223,202,3.008968609865471,1.038968609865471
Manhattan,Roosevelt Island,97.56521739130434,69,60,3.1594202898550723,1.0707246376811594
Manhattan,SoHo,290.608024691358,324,272,2.8055555555555554,1.1194135802469136
Manhattan,Stuyvesant Town,183.60714285714286,28,28,2.4642857142857144,0.9796428571428571
Manhattan,Theater District,245.35,180,115,2.216666666666667,2.2745555555555557
Manhattan,Tribeca,445.475,120,116,2.7333333333333334,0.8026666666666666
Manhattan,Two Bridges,127.81159420289855,69,62,2.6231884057971016,2.2005797101449276
Manhattan,Upper East Side,192.6196980589504,1391,1261,2.8749101365923795,1.1672465851905105
Manhattan,Upper West Side,194.60892388451444,1524,1379,2.896981627296588,1.0595472440944882
Manhattan,Washington Heights,90.71306471306471,819,710,2.652014652014652,1.1883882783882784
Manhattan,West Village,269.48854961832063,655,615,2.830534351145038,0.9458167938931298
Queens,Arverne,171.7792207792208,77,62,1.6493506493506493,1.6183116883116884
Queens,Astoria,106.82044887780549,802,685,2.70573566084788,1.2250623441396509
Queens,Bay Terrace,142.0,6,5,2.5,1.0566666666666666
Queens,Bayside,168.33333333333334,36,25,2.8333333333333335,2.0777777777777775
Queens,Bayswater,92.53333333333333,15,14,1.8666666666666667,1.6566666666666665
Queens,Belle Harbor,171.5,8,7,1.75,1.2975
Queens,Bellerose,99.35714285714286,14,11,1.7857142857142858,0.7814285714285714
Queens,Breezy Point,213.33333333333334,3,2,1.0,0.38666666666666666
Queens,Briarwood,105.875,56,36,1.8928571428571428,1.4939285714285713
Queens,Cambria Heights,81.73076923076923,26,22,2.1923076923076925,1.543076923076923
Queens,College Point,89.55555555555556,18,17,2.7222222222222223,2.102222222222222
Queens,Corona,59.19672131147541,61,34,1.6229508196721312,1.950327868852459
Queens,Ditmars Steinway,96.46643109540636,283,236,2.5335689045936394,1.4071024734982331
Queens,Douglaston,82.75,8,6,2.0,1.20875
Queens,East Elmhurst,81.03260869565217,184,113,1.4891304347826086,4.533097826086957
Queens,Edgemere,114.875,8,8,2.625,1.47375
Queens,Elmhurst,86.9238578680203,197,132,2.030456852791878,1.6267512690355332
Queens,Far Rockaway,180.53846153846155,26,20,2.576923076923077,1.2792307692307692
Queens,Flushing,93.32338308457712,402,203,1.8109452736318408,2.121044776119403
Queens,Forest Hills,109.9090909090909,132,94,2.159090909090909,1.2371212121212123
Queens,Fresh Meadows,99.5,32,20,1.5625,2.691875
Queens,Glendale,92.72549019607843,51,43,2.6470588235294117,2.0137254901960784
Queens,Hollis,88.64285714285714,14,10,2.0714285714285716,1.6171428571428572
Queens,Holliswood,135.75,4,4,2.5,0.5675
Queens,Howard Beach,118.15789473684211,19,14,1.631578947368421,2.3389473684210524
Queens,Jackson Heights,83.64285714285714,168,125,2.386904761904762,1.807559523809524
Queens,Jamaica,95.8859649122807,228,136,1.5614035087719298,2.763815789473684
Queens,Jamaica Estates,182.94736842105263,19,16,1.9473684210526316,2.2773684210526315
Queens,Jamaica Hills,132.125,8,6,1.625,2.99125
Queens,Kew Gardens,88.3225806451613,31,20,2.7419354838709675,1.3187096774193547
Queens,Kew Gardens Hills,114.2,25,22,3.04,1.4063999999999999
Queens,Laurelton,95.6470588235294,17,12,1.588235294117647,2.3676470588235294
Queens,Little Neck,75.2,5,4,1.8,0.488
Queens,Long Island City,130.36400817995911,489,401,2.5194274028629855,1.3829856850715745
Queens,Maspeth,87.88541666666667,96,69,2.1145833333333335,1.8001041666666666
Queens,Middle Village,107.96296296296296,27,21,2.6666666666666665,1.8992592592592592
Queens,Neponsit,274.6666666666667,3,3,2.0,1.5999999999999999
Queens,Ozone Park,85.36065573770492,61,48,2.5737704918032787,1.6745901639344263
Queens,Queens Village,77.9298245614035,57,46,1.7719298245614035,2.9136842105263154
Queens,Rego Park,82.36,100,73,2.09,1.53
Queens,Richmond Hill,87.12359550561797,89,56,2.0224719101123596,2.496741573033708
Queens,Ridgewood,82.57478005865103,341,294,2.87683284457478,1.3728152492668622
Queens,Rockaway Beach,135.24528301886792,53,44,1.830188679245283,1.5756603773584907
Queens,Rosedale,74.07407407407408,54,37,1.7592592592592593,2.477962962962963
Queens,South Ozone Park,83.23076923076923,39,23,2.7948717948717947,3.1241025641025644
Queens,Springfield Gardens,93.37349397590361,83,48,1.5421686746987953,4.303855421686746
Queens,St. Albans,100.82894736842105,76,50,1.881578947368421,2.350263157894737
Queens,Sunnyside,87.56535947712419,306,235,2.6176470588235294,1.4024509803921568
Queens,Whitestone,107.54545454545455,11,8,1.9090909090909092,2.610909090909091
Queens,Woodhaven,67.17045454545455,88,45,2.7954545454545454,1.9822727272727272
Queens,Woodside,101.2969696969697,165,135,2.175757575757576,1.7857575757575757
Staten Island,Arden Heights,62.0,3,3,2.6666666666666665,1.0866666666666667
